ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
86-053	654	84	77	99.00%	2	7	0	1	13	5	0	41	2	6	0	0	0
86-054	542	45	55	99.00%	1	12	0	3	4	5	0	22	2	5	0	0	1
86-055	773	101	111	99.00%	1	13	1	0	22	13	0	43	1	16	1	0	0
86-056	823	95	101	99.00%	1	13	0	0	13	15	0	41	0	18	0	0	0
86-057	799	96	78	99.00%	2	7	0	3	11	10	1	27	0	15	1	1	0
86-058	673	68	77	99.00%	1	14	1	6	6	14	1	20	1	13	0	0	0
86-059	640	89	109	99.00%	2	6	2	4	10	18	0	38	2	26	0	1	0
86-060	79	11	28	99.00%	2	9	0	0	3	4	0	5	1	3	0	1	0
86-062	525	63	92	99.00%	1	14	1	1	10	15	0	24	2	22	0	0	2
86-063	841	118	121	99.00%	4	19	4	1	30	14	0	23	2	24	0	0	0
86-064	896	108	93	99.00%	1	17	0	2	5	6	0	38	0	20	1	3	0
86-065	415	45	75	99.00%	1	8	0	2	17	17	0	21	0	7	1	1	0
86-066	748	80	108	99.00%	3	34	0	5	15	12	0	26	0	13	0	0	0
86-067	703	65	97	99.00%	4	18	1	3	4	12	0	21	1	30	0	3	0
86-068	390	68	59	99.00%	1	6	0	1	4	12	0	13	0	21	0	1	0
86-069	713	107	104	99.00%	1	16	1	3	15	12	0	25	0	29	0	1	1
86-070	473	58	93	99.00%	2	9	0	1	16	10	1	48	1	4	0	0	1
86-071	503	67	95	99.00%	0	7	0	0	18	18	0	34	2	15	0	1	0
86-072	446	50	62	99.00%	4	4	0	3	4	5	0	41	0	1	0	0	0
87-001	122	16	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-002	709	64	96	99.00%	1	13	0	5	5	22	1	29	0	20	0	0	0
87-003	407	29	39	99.00%	1	3	0	1	8	8	0	15	0	2	0	1	0
87-004	835	93	75	99.00%	1	3	0	2	9	10	0	40	0	10	0	0	0
87-005	600	62	135	99.00%	2	17	0	2	14	29	0	53	2	15	0	1	0
87-006	885	85	131	99.00%	3	18	0	5	17	29	0	40	2	15	0	2	0
87-007	604	43	73	99.00%	1	14	2	2	11	21	0	13	0	8	0	1	0
87-008	617	71	146	99.00%	6	15	0	1	23	20	0	71	0	7	0	2	1
87-009	727	82	117	99.00%	2	5	0	9	11	24	0	51	2	10	1	2	0
87-010	794	85	112	99.00%	2	9	0	11	16	25	0	31	0	18	0	0	0
87-011	789	105	114	99.00%	2	10	1	7	23	18	0	40	2	11	0	0	0
87-012	286	45	1	99.00%	0	0	0	0	0	0	0	0	1	0	0	0	0
